n,b,m,k,num_docs,time_sec,mean_cosine,cosine_hamming
1000,4,64,0,12,21.912978172302246,0.9931969,1.0
1000,4,64,2,111,12.437702655792236,0.974107,0.9966892940393203
1000,4,64,4,324,11.799564123153687,0.92897546,0.9874954378867484
1000,4,64,8,773,12.097122430801392,0.8289964,0.9463471373240863
1000,8,64,0,12,20.86665177345276,0.9931968,1.0
1000,8,64,2,111,12.819740056991577,0.97410697,0.9966892940393204
1000,8,64,4,334,12.396925449371338,0.926288,0.9871520046297183
1000,8,64,8,908,12.587439775466919,0.8161378,0.93928480042224
10000,4,64,0,242,25.322668075561523,0.9840035,1.0
10000,4,64,2,1752,14.817314147949219,0.94547194,0.9963505665955765
10000,4,64,4,4547,14.208923578262329,0.89628905,0.9855502007499917
10000,4,64,8,8803,14.07421064376831,0.81852525,0.9460526092445478
10000,8,64,0,237,30.778364896774292,0.98399985,1.0
10000,8,64,2,1703,13.607921361923218,0.94801,0.9963745225171386
10000,8,64,4,4519,14.277816534042358,0.90086925,0.9855588657266867
10000,8,64,8,9313,14.001966953277588,0.8171431,0.9425687524379311
