n,b,m,k,num_docs,time_sec,mean_cosine,cosine_hamming
10000,4,64,0,242,1.1517592668533325,0.9840033054351807,1.0
10000,4,64,2,1752,1.1522780656814575,0.9454718828201294,0.9963505665955764
10000,4,64,4,4555,1.1531497240066528,0.895689845085144,0.9855066244795888
10000,4,64,8,8804,1.1582413911819458,0.8173574209213257,0.9456629003674701
10000,8,64,0,242,1.8509913682937622,0.9840033650398254,1.0
10000,8,64,2,1748,1.8514703512191772,0.9460738897323608,0.9963613178571177
10000,8,64,4,4653,1.8596466779708862,0.8960379958152771,0.9852782941752468
10000,8,64,8,9408,1.8690372705459595,0.8104549050331116,0.9405939968171189
50000,4,64,0,1730,4.681448221206665,0.9731239676475525,1.0
50000,4,64,2,11831,4.6898720264434814,0.9365379810333252,0.9962936174538081
50000,4,64,4,28321,4.705678701400757,0.8922156095504761,0.98567052557043
50000,4,64,8,47273,4.7980945110321045,0.8166413307189941,0.946739910318264
50000,8,64,0,1298,5.466843485832214,0.9812566041946411,1.0
50000,8,64,2,8788,5.469293713569641,0.9520488381385803,0.9965061032609107
50000,8,64,4,22585,5.472550272941589,0.9066230058670044,0.9861074323168139
50000,8,64,8,43287,5.5469406843185425,0.8158212900161743,0.9426324766041025
100000,4,64,0,3571,9.935284435749054,0.9638711214065552,1.0
100000,4,64,2,27167,9.936900675296783,0.9204286932945251,0.9962124242666993
100000,4,64,4,62940,9.979178488254547,0.8798543810844421,0.9854308036263234
100000,4,64,8,96415,10.232793390750885,0.8126100897789001,0.9465375470245152
100000,8,64,0,1807,7.681555688381195,0.981030285358429,1.0
100000,8,64,2,13361,7.677148997783661,0.9476544857025146,0.9964768095665504
100000,8,64,4,35571,7.68832391500473,0.9010986089706421,0.985879087220552
100000,8,64,8,69578,7.808425843715668,0.8158310651779175,0.9425764928697821
