n,b,m,k,num_docs,time_sec,mean_cosine,cosine_hamming
100000,4,64,0,3571,7.569145500659943,0.9638711214065552,1.0
100000,4,64,2,27167,7.579729378223419,0.9204286932945251,0.9962124242666993
100000,4,64,4,62940,7.6135624051094055,0.8798543810844421,0.9854308036263234
100000,4,64,8,96415,7.8692198395729065,0.8126100897789001,0.9465375470245152
100000,8,64,0,1807,7.944346845149994,0.981030285358429,1.0
100000,8,64,2,13361,7.954288899898529,0.9476544857025146,0.9964768095665504
100000,8,64,4,35571,7.945983588695526,0.9010986089706421,0.985879087220552
100000,8,64,8,69578,8.111018359661102,0.8158310651779175,0.9425764928697821
